Date,RIC,Currency,Daily Total Return,Price Close,Volume
2026-02-12,A.N,USD,-3.11869666408069,124.88,805494
2026-02-12,AA.N,USD,-4.18052256532067,60.51,1487725
2026-02-12,AAL.OQ,USD,-2.09059233449477,14.05,8429636
2026-02-12,AAOI.OQ,USD,-9.11157024793388,43.99,1109149
2026-02-12,AAON.OQ,USD,-1.08060747663551,101.61,264063
2026-02-12,AAP.N,USD,-2.36458158644978,58.22,985702
2026-02-12,AAPL.OQ,USD,-4.99818511796733,261.73,29537599
2026-02-12,ABAT.OQ,USD,-8.91566265060242,3.78,929414
2026-02-12,ABBV.N,USD,2.99243967585677,227.5,2427699
2026-02-12,ABCB.N,USD,-0.478354460655352,83.22,178512
2026-02-12,ABG.N,USD,0.761978561281162,234.06,95667
2026-02-12,ABM.N,USD,-7.08021390374332,43.44,169172
2026-02-12,ABNB.OQ,USD,-3.00292764533668,115.96,3600667
2026-02-12,ABR.N,USD,-2.36842105263158,7.42,831868
2026-02-12,ABT.N,USD,-1.866361475482,111.47,3537383
2026-02-12,ACA.N,USD,-0.876095118898627,126.72,54087
2026-02-12,ACAD.OQ,USD,-3.82732532265242,21.61,545332
2026-02-12,ACGL.OQ,USD,1.25747895750938,99.85,964257
2026-02-12,ACHC.OQ,USD,2.31809401159048,15.89,1652840
2026-02-12,ACHR.N,USD,-3.012912482066,6.76,4516221
2026-02-12,ACI.N,USD,1.12803158488437,17.93,1468735
2026-02-12,ACIW.OQ,USD,-2.62831638978427,39.27,401895
2026-02-12,ACLS.OQ,USD,-1.39403180135045,90.54,203409
2026-02-12,ACLX.OQ,USD,-1.76016027475671,68.65,205019
2026-02-12,ACM.N,USD,-12.3822742143353,88.38,992242
2026-02-12,ACMR.OQ,USD,-9.30956423316357,64.1,640683
2026-02-12,ACN.N,USD,-3.63667925183353,222.05,1623637
2026-02-12,ACT.OQ,USD,0.413412953605879,43.72,151253
2026-02-12,ACVA.N,USD,-9.58333333333334,6.51,1334852
2026-02-12,ADBE.OQ,USD,2.07652823145123,262.5,2357859
2026-02-12,ADC.N,USD,-0.221498371335507,76.58,920377
2026-02-12,ADEA.OQ,USD,-3.67840252233317,18.33,352940
2026-02-12,ADI.OQ,USD,-1.67359050445104,331.36,1960445
2026-02-12,ADM.N,USD,0.288600288600293,69.5,1145524
2026-02-12,ADMA.OQ,USD,-4.23832923832925,15.59,826150
2026-02-12,ADNT.N,USD,-1.49981252343458,26.27,498451
2026-02-12,ADP.OQ,USD,-3.49772487015672,209.96,2488203
2026-02-12,ADPT.OQ,USD,-0.512163892445583,15.54,689146
2026-02-12,ADSK.OQ,USD,-3.91246399243303,223.49,2112723
2026-02-12,ADT.N,USD,-2.17669654289372,7.64,3608800
2026-02-12,ADUS.OQ,USD,-0.323969289486539,112.3,71779
2026-02-12,AEE.N,USD,3.13148462554236,109.34,934999
